PAÍSES;PRODUTO;1970;1970;1971;1971;1972;1972;1973;1973;1974;1974;1975;1975;1976;1976;1977;1977;1978;1978;1979;1979;1980;1980;1981;1981;1982;1982;1983;1983;1984;1984;1985;1985;1986;1986;1987;1987;1988;1988;1989;1989;1990;1990;1991;1991;1992;1992;1993;1993;1994;1994;1995;1995;1996;1996;1997;1997;1998;1998;1999;1999;2000;2000;2001;2001;2002;2002;2003;2003;2004;2004;2005;2005;2006;2006;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;2022;2022
Afeganistão;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;46;0;0
África do Sul;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;463;1673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;95;4;21;0;0;0;0
Alemanha, República Democrática;VINHOS DE MESA;0;0;0;0;4168;2630;12000;8250;0;0;0;0;0;0;0;0;0;0;5400;6500;0;0;0;0;0;0;0;0;0;0;67;136;1037;1750;2700;4044;2205;3921;197;510;0;0;3780;7182;2700;5143;0;0;0;0;20700;40590;0;0;43;307;504;700;0;0;9900;15620;1673;11157;1080;4626;0;0;13589;28140;57393;106702;38302;89231;119512;238052;265742;429970;225086;393482;27715;138666;36070;144150;8189;56342;61699;265978;213348;761653;10680;44780;14012;68109;15467;87702;10794;45382;3660;25467;6261;32605;2698;6741;7630;45367
Angola;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3465756;2387643;1682244;1118023;0;0;0;0;0;0;0;0;339;1082;774;1718;1316;3847;18500;12950;168;134;930;1090;125;116;292;332;189;238;0;0;24;46;2118;6401;68494;146017;15780;34732;10998;16738;249717;368817;12150;15529;9812;5290;19937;11437;37573;50382;24056;33039;3766;18293;25931;49753;25721;71083;54786;84235;33557;189891;13889;69001;2833;8861;1573;9300;12182;23124;1908;17089;7359;35390;10170;61680;477;709;345;1065;0;0;0;0;4068;4761
Anguilla;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;80;324;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antígua e Barbuda;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;191;219;1549;624;1864;805;2268;419;1866
Antilhas Holandesas;VINHOS DE MESA;280;207;4800;3705;3000;1936;0;0;0;0;1800;1600;0;0;0;0;0;0;4500;1349;11773;6586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;540;1326;1080;2652;1080;2640;1782;3195;3434;8448;0;0;2288;5632;2287;5632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4259;6206;19116;24419;17025;17949;17938;22908;8235;10651;9810;12808;7335;10188;9247;14081;11281;19565;4455;7169;6660;10545;16641;26450;5400;8550;0;0;0;0;0;0;0;0;0;0
Argentina;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360;960;0;0;6300;15000;0;0;1125;2250;322990;136500;691422;296167;0;0;2100;2576;40;369;211;1178;0;0;0;0;1477;2393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;4523;0;0;13253;55460;0;0;0;0;20385;95130;0;0;0;0;0;0;15711;59150;0;0;1015;4176;6;13;480;3232
Aruba;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;900;1680;0;0;0;0;450;755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
