PAÍSES;PRODUTO;1970;1970;1971;1971;1972;1972;1973;1973;1974;1974;1975;1975;1976;1976;1977;1977;1978;1978;1979;1979;1980;1980;1981;1981;1982;1982;1983;1983;1984;1984;1985;1985;1986;1986;1987;1987;1988;1988;1989;1989;1990;1990;1991;1991;1992;1992;1993;1993;1994;1994;1995;1995;1996;1996;1997;1997;1998;1998;1999;1999;2000;2000;2001;2001;2002;2002;2003;2003;2004;2004;2005;2005;2006;2006;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;2022;2022
África do Sul;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42661;99201;32194;106317;157239;305701;303489;665101;407413;775421;358870;1164032;386425;1320244;315380;1151699;493093;1931449;966276;3600658;507509;2136394;722327;3041449;475331;1985184;722715;3033932;743335;2996543;578829;1686226;1138732;3241298;1127053;3574371;1092042;3604038;627150;1701072;859169;2508140;738116;2266827
Alemanha;VINHOS DE MESA;52297;30498;34606;26027;134438;92103;111523;98638;219173;202502;134354;149931;168134;171308;160926;201840;437831;668631;433478;691404;457033;704307;707194;853830;996948;1126928;850055;908380;586645;564129;1069717;1122438;2357113;3008737;1307519;1863924;2029271;2757417;2885143;4074739;3342223;5875679;3096425;4545305;2515557;3644055;5721360;7155615;11047710;16068528;11919346;19758144;8680860;10629243;4867017;5108215;3014081;4834030;2576557;4539354;1164724;1668539;909077;1169872;759712;829695;573198;629664;420075;550750;253685;382599;314749;634870;234006;647626;293935;1063825;56075;291876;192661;784674;198025;933545;113243;591167;114866;414070;115804;483316;95171;358275;158386;606333;83289;315959;142971;516975;101055;412794;136992;504168;106541;546967;92600;438595
Argélia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0
Arábia Saudita;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;563;3249;0;0;0;0;2510;8761;0;0
Argentina;VINHOS DE MESA;19525;12260;24942;15022;104906;58137;116887;76121;215930;167473;145823;90855;348653;277507;408399;395615;614134;709813;646978;888941;298471;479464;131738;209173;191972;264487;132634;188625;42438;64603;114570;164424;170413;242678;98854;136841;414931;590758;716062;1153585;455774;721398;852441;1493649;444896;815668;359542;795068;446315;730091;1397904;1992083;779008;1438076;1013306;2089559;1295190;3073775;2475780;5284871;2724941;6556544;2585537;6196286;3867336;6894469;5720024;9653634;10202602;17142493;10845213;21623751;11939727;25822840;15621172;36160548;14417761;37382581;13902750;38521731;16965266;52126581;16673491;58806736;14613839;55633562;12732815;49524694;13437321;53815956;12465041;48043201;14098009;45214862;15461740;51770842;15221318;52817642;16548931;54527380;22610267;66322932;26869241;79527959;27980574;87519642
Armênia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2385;13668
Austrália;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130097;446892;179310;636740;148916;446693;126441;344316;192539;561291;324162;901226;254407;1059677;363611;1583361;215135;1248671;270908;998680;405271;1864846;824440;2811273;615334;2474783;553190;1703815;236742;1008851;395030;1261810;498515;1537834;354641;1246545;3518;21664;16292;1214643;212595;792051;366875;1383093;579279;1590059
Áustria;VINHOS DE MESA;1328;707;0;0;353;520;2310;2081;5301;7394;8835;5560;0;0;0;0;600;386;4250;3756;2385;5878;0;0;0;0;8400;7581;0;0;11830;5016;1740;3508;2520;7650;1800;7045;0;0;0;0;6180;21658;0;0;3580;5128;910;5612;1080;6205;0;0;4404;10594;8926;59378;83930;661104;0;0;770;0;0;0;0;0;1170;24677;1688;17321;1351;8359;1688;35247;11388;73348;1895;12073;2329;30075;6357;56227;8098;85116;56849;227204;2770;32116;360;3891;1485;7551;2655;24629;513995;1567866;348289;128379;6540;52348;13427;141822;7403;53974
Bermudas;VINHOS DE MESA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;141;1;4
Bélgica;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20700;30575;882;1391;0;0;0;0;0;0;13791;95375;9363;40899;5550;23433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1090;4376;45221;163;1201;7;30;0;0;0;0;0;0
Bolívia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;540;1348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bósnia-Herzegovina;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1218;902;0;0;0;0
Brasil;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2088;16212;3007;20041;2930;12527;3513;19633;309;1769;0;0;7;232;93;1164;1051;15016;473;5747;449;6011;1359;12919;183;2127;845617;260135;18040;121806;29295;246008;4347;41213;12602;39816;1;5
Bulgária;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20997;94727;1097;2527;0;0;5947;21988;15019;46857;17244;51678;17777;55253;35284;68234;16166;17550;10944;9915;23110;58319;34185;105623;29929;43221
Canadá;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;396;30957;0;0;0;0;2322;35032;0;0;0;0;1530;25958;0;0;0;0;0;0;301;17418;0;0;0;0;0;0;884;11607
Chile;VINHOS DE MESA;162370;101819;74406;52240;161736;95654;301559;212140;550691;429885;952233;764780;2175650;1574474;2593464;1962448;3742918;3415769;4235991;4315227;2568586;3199365;1647720;2344875;786016;1124272;598657;781217;490217;527176;1114665;1195151;1347894;1416109;914549;1008445;1240065;1474473;2020687;2675722;1530497;2034195;1424430;1869655;1073114;1421889;1633996;2655683;2347724;3822138;2622381;4165531;1964361;3273873;2951870;5453225;3203054;6005098;4312887;8756515;5559322;12096840;5160203;11122691;6200375;11626770;7955549;16120955;11134141;22521618;11647128;25645333;15194205;36681244;18845522;47680946;18662626;50748373;22476643;61380795;26434744;72983389;26642889;84952500;30258795;93315735;28288212;90281256;35479279;113375484;36686870;107684380;43400991;123183079;51787643;145628860;51104825;144731210;52697108;145471294;72726186;176540499;69617587;182568098;68881232;184335335
China;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;496;459;4235;6858;32738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;213;1000;613;5;472;317;2458;0;0;0;0;0;0
Coreia do Sul, República;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;560;0;0;800;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Croácia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;12388;630;16571;0;0;0;0;2069;3779;0;0;0;0;0;0;450;2900;0;0;17343;78954;887;35563
Emirados Árabes Unidos;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;1138;529;10093;2175;35489;0;0;0;0;0;0;0;0;0;0;0;0
Eslovênia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600;62602;433;1223;2192;25307;4190;23377;4640;24190;14366;46972;0;0;20976;68521;30968;101190;11392;39771;42944;172141;31509;127726
Eslováquia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1305;3878;21424;64828;10800;17938;459;3160;0;0;0;0;0;0
Espanha;VINHOS DE MESA;261126;90159;140507;50191;300582;116710;226805;117135;362577;215208;174608;123102;52474;41000;105667;98238;87767;75364;103825;92476;111381;109277;56316;59696;119748;104790;65961;60450;7200;8421;61924;59833;52429;61130;71472;101606;67339;108259;54954;130171;132157;503357;52892;169698;51921;144087;48534;128664;166267;362863;385466;669208;510076;939905;352213;1142017;370580;1328280;396453;1906389;531425;1699237;624644;2360928;435422;1503384;410133;1721562;603666;2092080;508494;2504139;971869;4288963;862045;4506858;990697;6036397;1119540;6224187;1622100;8698824;1999970;11175636;2540209;11724946;2772104;13570874;2760797;12797753;3024533;11396855;3948614;12221512;7240535;19834451;5595268;19353631;5797980;17111436;7169384;19802061;8793911;23795616;6487047;17187749
Estados Unidos;VINHOS DE MESA;0;0;915;190;2156;1337;0;0;0;0;965;3761;1800;2575;2250;3275;58050;67752;32400;36360;32400;36720;28350;33443;40563;52983;21654;24570;0;0;11025;15805;5796;9218;16517;17965;6120;7880;14400;53390;27900;142509;25655;62170;16836;44552;77914;177471;93789;212884;142331;313916;275864;454266;511333;1122364;381199;885162;674683;992353;426442;899698;374590;1036201;139693;357913;173327;448844;79531;255328;53043;245198;61283;355478;79376;334204;65956;542331;85393;702825;194774;1344921;369806;1756901;379329;1995929;518888;2817086;788773;4171731;775131;3848755;725420;2924715;1372347;4110641;548655;2584781;534870;2400830;366584;2119234;506405;2809649;393211;3023220
França;VINHOS DE MESA;91544;78135;88714;72978;176688;173001;259060;435641;316584;465175;191546;278746;284613;423696;322033;476983;355292;633098;458369;795004;248038;508338;303063;479427;313977;424752;267008;329128;117087;138156;540136;735516;625421;980754;340250;653846;435573;724549;701300;1422973;479460;1807082;503488;1870305;356417;888246;924323;2132215;1821215;3935308;2043172;5026251;1917908;4370132;3388528;8771794;3853865;12027414;3529422;10122865;3431635;8467949;3118460;7968430;2355088;6060888;1958362;6093629;2092261;6201807;1671209;5783702;2561966;10507604;2737947;14721769;2466277;16275708;2372448;16893114;2799118;18778566;3329437;22917012;3181440;21636175;3265362;23336291;3592782;27480375;3617130;19353291;3831566;15940341;5921728;25280255;4653789;22688105;5324383;24299524;5658139;24894394;6241310;31428188;4911903;25955232
Geórgia;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33750;134202;0;0;0;0;0;0;0;0;8164;20416;21748;41161;20274;42948;19188;32901;12506;26983
Geórgia do Sul e Sandwich do Sul, Ilhas;VINHOS DE MESA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1838;2915;1788;2797
